EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: 20250617_133001_1fve
Started: 2025-06-17 13:30:03
Completed: 2025-06-17 13:37:16
Total Training Time: 7.2 minutes (0.1 hours)
Report generated: 2025-06-17 13:37:16

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/1fv5
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: False
  reduced_cluster_size: 256
  hidden_dim: 256
  model_parameters: 1324102
  model_type: EvoformerODEFunc
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE
  train_proteins: 1
  val_proteins: 1
  use_sequential_loading: False
  aggressive_cleanup: True
  preliminary_training_enabled: False
  prelim_data_dir: None
  prelim_block_stride: 4
  prelim_max_epochs: 20
  prelim_early_stopping_min_delta: N/A

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

MAIN TRAINING PHASE
==================================================

Main Training Started: 2025-06-17 13:30:03
Main Training Completed: 2025-06-17 13:37:16
Main Training Duration: 7.2 minutes

Main Training Progress:
------------------------------
Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
341      13.10487       1/1            13.09387       1/1            0.4         
342      13.09387       1/1            13.08092       1/1            0.4         
343      13.08092       1/1            13.06971       1/1            0.4         
344      13.06971       1/1            13.05876       1/1            0.4         
345      13.05876       1/1            13.04776       1/1            0.4         
346      13.04776       1/1            13.03675       1/1            0.4         
347      13.03675       1/1            13.02582       1/1            0.4         
348      13.02582       1/1            13.01426       1/1            0.4         
349      13.01426       1/1            13.00279       1/1            0.4         
350      13.00279       1/1            12.99202       1/1            0.4         
351      12.99202       1/1            12.98115       1/1            0.4         
352      12.98115       1/1            12.97028       1/1            0.4         
353      12.97028       1/1            12.95966       1/1            0.4         
354      12.95966       1/1            12.94887       1/1            0.4         
355      12.94887       1/1            12.93828       1/1            0.4         
356      12.93828       1/1            12.92774       1/1            0.4         
357      12.92774       1/1            12.91695       1/1            0.4         
358      12.91695       1/1            12.90630       1/1            0.4         
359      12.90630       1/1            12.89569       1/1            0.4         
360      12.89569       1/1            12.88509       1/1            0.4         
361      12.88509       1/1            12.87449       1/1            0.4         
362      12.87449       1/1            12.86367       1/1            0.4         
363      12.86367       1/1            12.85290       1/1            0.4         
364      12.85290       1/1            12.84243       1/1            0.4         
365      12.84243       1/1            12.83189       1/1            0.4         
366      12.83189       1/1            12.82137       1/1            0.4         
367      12.82137       1/1            12.81080       1/1            0.4         
368      12.81080       1/1            12.79836       1/1            0.4         
369      12.79836       1/1            12.78524       1/1            0.4         
370      12.78524       1/1            12.77473       1/1            0.4         
371      12.77473       1/1            12.76426       1/1            0.4         
372      12.76426       1/1            12.75392       1/1            0.4         
373      12.75392       1/1            12.74374       1/1            0.4         
374      12.74374       1/1            12.73345       1/1            0.4         
375      12.73345       1/1            12.72322       1/1            0.4         
376      12.72322       1/1            12.71297       1/1            0.4         
377      12.71297       1/1            12.70282       1/1            0.4         
378      12.70282       1/1            12.69241       1/1            0.4         
379      12.69241       1/1            12.68224       1/1            0.4         
380      12.68224       1/1            12.67234       1/1            0.4         
381      12.67234       1/1            12.66226       1/1            0.4         
382      12.66226       1/1            12.65234       1/1            0.4         
383      12.65234       1/1            12.64238       1/1            0.4         
384      12.64238       1/1            12.63252       1/1            0.4         
385      12.63252       1/1            12.62266       1/1            0.4         
386      12.62266       1/1            12.61284       1/1            0.4         
