EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: adjoint_training_20250605_183403
Started: 2025-06-05 18:34:32
Completed: 2025-06-06 00:32:37
Total Training Time: 358.1 minutes (6.0 hours)
Report generated: 2025-06-06 00:32:37

Configuration Settings:
------------------------------
  data_dir: /media/visitor/Extreme SSD/data/complete_blocks
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/mini
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/outputs
  use_fast_ode: True
  reduced_cluster_size: 128
  hidden_dim: 128
  model_parameters: 166914
  model_type: EvoformerODEFuncFast
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: 1000
  loss_function: Adaptive MSE (0→48 only)
  train_proteins: 80
  val_proteins: 25

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

TRAINING PROGRESS SUMMARY
==================================================

Epoch    Train Loss     Val Loss       Best Loss      Worst Loss     Duration (s)
    1t1h_A: 0.29052
    1pt4_A: 0.47181
    1su1_A: 0.26783
    1fdy_A: 0.27876
    7lca_A: 0.28894
    6fcm_A: 0.26382
    2cwx_A: 0.28920
    1i5z_A: 0.28916
    6abq_A: 0.26666
    1esi_A: 0.28817
    4ekx_A: 0.25760
    5khg_A: 0.28462
    1ehj_A: 0.30266
    6v42_A: 0.27621
    5uqi_A: 0.24851
    3tkp_A: 0.24593
    3gbw_A: 0.27602
    2qht_A: 0.29993
    2r9p_A: 0.23618
    3ga0_A: 0.24908
    2g19_A: 0.25220
    4nwb_A: 0.31371
    2zc1_A: 0.27404
    3dp6_A: 0.24272
    2uy9_A: 0.26824
    3o4r_A: 0.26519
    2pku_A: 0.28107
    6yjn_A: 0.26441
    1sgv_A: 0.28337
    1uv7_A: 0.27119
    6jko_A: 0.27899
    6sw8_A: 0.32364
    2ztm_A: 0.29489
    4cew_A: 0.26815

Epoch 6:
  Duration: 113.1 seconds
  Training Loss: 0.27451
  Validation Loss: 0.27211 (25 proteins)
    Val range: [0.21233, 0.54584]
  Best: 2r9p_A (0.20829)
  Worst: 6vjo_A (0.70877)
  Training Proteins:
    7d60_A: 0.29042
    1kqy_A: 0.27156
    3eba_A: 0.26541
    3foa_A: 0.28447
    3eps_A: 0.28374
    4j7z_A: 0.37596
    2cbp_A: 0.25217
    2wvq_A: 0.28573
    5wrf_A: 0.27250
    3ob6_A: 0.30058
    1mzw_A: 0.24109
    7bln_A: 0.24828
    3st1_A: 0.24315
    1z84_A: 0.27615
    5jir_A: 0.25814
    5wup_A: 0.28799
    1tpg_A: 0.27216
    6dzg_A: 0.24531
    1b08_A: 0.24604
