EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

⏰ INTERRUPTED AT 114 EPOCHS (TIME LIMIT REACHED)
==================================================

Experiment: 20250613_180436_fast_ode_with_prelim
Started: 2025-06-14 19:23:15
Completed: 2025-06-15 19:23:16
Total Training Time: 1440.0 minutes (24.0 hours)
Report generated: 2025-06-15 19:23:16

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/jumbo
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: True
  reduced_cluster_size: 128
  hidden_dim: 64
  model_parameters: 117378
  model_type: EvoformerODEFuncFast
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE (0→48 only)
  train_proteins: 492
  val_proteins: 50
  use_sequential_loading: True
  aggressive_cleanup: True

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

TRAINING PROGRESS SUMMARY
==================================================

Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
    5wc0_A: 140.93671
    3gdj_A: 34.73396
    2hio_A: 29.72695
    4tgl_A: 57.21224
    5vnd_A: 68.64007
    2g6u_A: 5.65058
    2ztb_A: 57.30299
    4ehs_A: 39.20013
    3ao9_A: 24.92037
    4ygo_A: 36.09448
    5fs8_A: 148.56427
    7bhe_A: 32.50466
    6nrr_A: 24.10641
    5mla_A: 38.20431
    1jml_A: 18.15685
    1v5n_A: 22.41967
    2enq_A: 31.60947
    6btj_A: 59.21873
    2f07_A: 45.17006
    3dup_A: 72.72323
    6kwa_A: 59.33604
    6uuk_A: 93.26157
    1sro_A: 16.28843
    1o7s_A: 26.61604
    6gol_A: 20.06035
    4apw_A: 78.79899
    1tro_A: 6.52070
    2afc_A: 32.90877
    5u4h_A: 109.78792
    1uwj_A: 58.64711
    1shn_A: 125.47745
    2xr6_A: 37.52134
    3no7_A: 23.54439
    5jso_A: 45.88459
    1t2l_A: 29.12454
    7bsl_A: 160.84181
    1fvi_A: 61.74496
    1hv5_A: 37.54287
    2cyu_A: 11.34498
    7n50_A: 59.16784
    2vy1_A: 46.40838
    1i6j_A: 4.53725
    4kir_A: 122.66193
    2w02_A: 191.64931
    1vrk_A: 44.34557
    3alw_A: 145.52655
    2cdb_A: 77.11487
    2zay_A: 32.87381
    4kp2_A: 109.48690
    4rck_A: 45.64575
    4qlh_A: 44.01176
    1rja_A: 24.25271
    1gnk_A: 25.49129
    5aon_A: 15.81535
    4ndk_A: 68.99149
    3dgz_A: 120.15907
    1u36_A: 21.09111
    5v8w_A: 18.71905
    6iad_A: 121.06494
    1kyn_A: 52.26633
    4o5m_A: 88.27863
    1af4_A: 67.36205
    2uyh_A: 66.14230
    2gpy_A: 50.90369
    4xa9_A: 60.12900
    4ep6_A: 99.93974
    5ft0_A: 61.77028
    4xlt_A: 28.37127
    2ey4_A: 66.96642
    2e31_A: 89.56609
    5j49_A: 63.37024
    5tpx_A: 29.47434
    4ny0_A: 77.64304
    6s1v_A: 21.12621
    1zu1_A: 33.45015
    5x3s_A: 44.86579
    4ese_A: 50.72500
    2na5_A: 11.87988
    1sv0_A: 26.14749
    1a7m_A: 45.71008
    5c54_A: 76.53973
    3wnz_A: 118.19576
    3o4o_A: 30.86172
    5z8s_A: 47.01997
    3e8j_A: 70.78242
    4jwy_A: 63.09573
    1ni7_A: 35.62161
    7mgj_A: 74.26891
    5x1e_A: 23.78406
    6j2h_A: 63.68724
    2jxj_A: 17.88638
    3e81_A: 36.06528
    6bvp_A: 46.19525
    5z09_A: 95.12785
    3ggh_A: 56.48564
    1ptq_A: 10.46652
    5yft_A: 86.21220
    2lr3_A: 11.41998
    1r7m_A: 11.44721
    2l2e_A: 42.73911
    3q87_A: 25.30590
    6won_A: 55.72868
    5fc9_A: 18.04851
    1wf7_A: 24.43143
    3okk_A: 45.88641
    5v45_A: 55.33329
    1uku_A: 21.71734
    3fad_A: 36.09071
    2van_A: 53.22325
    3kn3_A: 47.88650
    3om2_A: 125.83106
    3vpp_A: 25.22644
    2fmr_A: 16.23324
    6ig4_A: 70.20463
    2h9m_A: 87.47084
    4nv2_A: 85.13155
    6tzl_A: 114.33783
    6m0v_A: 49.05722
    1hdp_A: 19.00809
    4nbc_A: 89.32944
    1p2c_A: 45.44101
    1ltk_A: 106.72469
    5ikq_A: 130.58952
    3thp_A: 70.84122
    2w8i_A: 73.12949
    6a6q_A: 86.64407
    2kpj_A: 20.64918
    1n0d_A: 9.98342
    2as0_A: 90.68270
    2w7v_A: 21.14299
    5jon_A: 129.30544
    1tqd_A: 90.87987
    6fkg_A: 41.16781
    4lo9_A: 55.73903
    2wz9_A: 30.70093
    1jo3_A: 15.97064
    6wt8_A: 78.99398
    1uem_A: 24.69749
    1ehn_A: 151.72314
    2c1y_A: 58.54192
    1wqa_A: 111.88799
    2ens_A: 27.38073
    7khe_A: 53.83631
    3gd0_A: 97.28288
    4zgh_A: 110.47880
    3frp_A: 158.95728
    1zg3_A: 77.54205
    1dq8_A: 116.47260
    4jnn_A: 43.59361
    6fpa_A: 66.02499
    5yda_A: 114.59593
    1zzz_A: 48.20758
    2n64_A: 34.32227
    4zdn_A: 208.17567
    3afa_A: 39.13726
    2nrj_A: 97.47693
    1onc_A: 21.49309
    2b7e_A: 14.02083
    6scq_A: 17.61242
    1fe5_A: 22.01876
    2fq6_A: 86.72675
    6ei3_A: 133.51445
    6x8o_A: 10.36245
    1b4m_A: 29.09239
    2n6h_A: 11.62689
    2zg1_A: 47.83859
    3hq9_A: 81.62169
    1b88_A: 23.66432
    2qcf_A: 52.45629
    4em6_A: 144.29132
    3dzc_A: 89.21559
    2u2f_A: 17.82383
    5xyb_A: 88.50370
    6ki2_A: 34.51467
    1uz3_A: 23.90250
    4ckn_A: 53.92139
    6q0i_A: 43.72224
    4o91_A: 67.32751
    2jov_A: 16.34589
    2lye_A: 11.11367
    3edm_A: 58.34665
    4ljr_A: 43.39528
    1vm8_A: 128.49707
    1ib2_A: 91.58823
    5svd_A: 151.94238
    3mah_A: 31.49760
    1bj4_A: 101.88885
    3h5g_A: 12.75278
    2qju_A: 139.16920
    3geu_A: 48.01990
    1q0r_A: 65.02325
    5y26_A: 61.94552
    3tny_A: 62.36431
    3gh4_A: 131.31198
    2ps4_A: 84.23588
    7d11_A: 18.30928
